SNo,Brand,Sales20,Sales19
1,Nike,34,32
2,GUCCI,17,14
3,Adidas,16,16
4,Louis Vuitton,16,13
5,Cartier,15,13
6,ZARA,14,18
7,H&M,13,15
8,Chanel,13,
9,UNIQLO,12,11
