Rank20,Rank19,Brand,Country
1,1,Nike,USA
2,5,GUCCI,France
3,3,Adidas,Germany
4,7,Louis Vuitton,France
5,6,Cartier,France
6,2,ZARA,Spain
7,4,H&M,Sweden
8,,Chanel,France
9,8,UNIQLO,Japan
